Devices;;;;;;;;;;;;;;;;;;;;
smartphone;Android;Fairphone;Fairphone 2;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330;proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;2420 mAh , Li-Ion;32 GB;2 GB;OmniVision OV8865    CMOS BSI    4.61 x 3.47    1.414 µm    f/2.2    7.99 MP (back) , 1.91 MP (front);143 x 73 x 11 mm;148 g;no;2.0 , micro-B;microSD;micro;?
smartphone;Android;Acer;Liquid Z6 Plus;5.5'';IPS;1080 x 1920 px = Full HD;MediaTek MT6753;ARM Mali-T720 MP3;prroximity , light , accelerometer , fingerprint , Wi-Fi , GPS , Bluetooth;4080 mAh , Li-Polymer;32 GB;3 GB;CMOS    12.98 MP    (front) , 5.04 MP    (back);153.6 x 75.4 x 8.5 mm;168 g;no;2.0 , micro-B;microSD;? , ?;Liquid UI
smartphone;Android;Wiko;U Feel Prime;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 430;Qualcomm Adreno 505;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3000 mAh , Li-Polymer;32 GB;4 GB;Sony Exmor IMX 298   CMOS    4.71 x 3.3 mm    1.133 µm    12.98 MP    (back) ,  7.99 MP    (front);142.5 x 69.9 x 8.7 mm;150 g;no;2.0 , micro-B;microSD;nano , nano;?
smartphone;Android;Wiko;U Pulse;5.5’’;IPS;720 x 1280 px = HD;MediaTek MT6737;ARM Mali-T720 MP2;fingerprint , light , accelerometer , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;3 GB;CMOS     12.98 MP    (back) , 7.99 MP     (front);153.5 x 77.5 x 8.5 mm;167 g;no;2.0 , micro-B;microSD;micro;?
smartphone;Android;Motorola;Moto Z Force;5.5'';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3500 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony Exmor IMX 230 RS    CMOS    5.99 x 4.5 mm    f/1.8    21.16 MP    (back) , 5.04 MP    (front);155.9 x 75.8 x 6.99 mm;163 g;no;2.0 , C;microSD;nano;?
smartphone;Android;Google;Pixel;5'';AMOLED , 441 ppp;1080 x 1920 px = Full HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;? , daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;2770 mAh , Li-Ion;32 GB , 128 GB;4 GB;Sony IMX78     CMOS    f/2.0    6.25 x 4.65mm    1.544µm    12 MP    (back) , 8 MP    (front);143.8 x 69.5 x 8.6 mm;143 g;IP 53;3.0 , C;no;nano;Vanilla-like
smartphone;Android;Google;Pixel XL;5.5'';AMOLED , 577 ppp;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;? , daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3450 mAh , Li-Ion;32 GB , 128 GB;4 GB;Sony IMX78     CMOS    f/2.0    6.25 x 4.65mm    1.544µm    12 MP    (back) , 8 MP    (front);154.7 x 75.7 x 8.6 mm;152 g;IP 53;3.0 , C;no;nano;Vanilla-like
smartphone;Android;ZTE;Axon 7;5.5'';AMOLED , 538 ppp;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;daydream ready , Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3140 mAh , Li-Polymer;64 GB , 128 GB;4 GB , 6 GB;Samsung S5K2T8    ISOCELL    f/1.8    19.93 MP    (back) , 7.99 MP    (front);151,7 x 75 x 7,9 mm;175 g;no;3.0 , C;microSD;nano , nano;MiFavor
smartphone;Android;ZTE;Nubia Z11;5.5'';Corning Gorilla Glass 3 , IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;4 GB , 6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    f/2.0    1.132 µm    15.93 MP    (back) ,  7.99 MP    (front);151.8 x 72.3 x 7.7 mm;162 g;no;2.0 , C;microSD;nano , nano;Nubia 4.0
smartphone;Android;Nokia;Nokia 6;5.5’’;Corning Gorilla 3 , IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 430;Qualcomm Adreno 505;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;3 GB , 4 GB;CMOS    f/2.0    4.74 x 3.56    1.029µm    15.93 MP    (back) , 7.99 MP    (front);154 x 75.8 x 8.4 mm;169 g;no;2.0 , micro-B;microSD;nano;?
smartphone;Android;Yota Devices;YotaPhone 2;5''    (front) / 4.7''    (back);AMOLED    (back) / e-Ink    (front);1080 x 1920 px = Full HD    (back);Qualcomm Snapdragon 800;Qualcomm Adreno 330;proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;2500 mAh , Li-Polymer;32 GB;2 GB;CMOS    f2/0    7.95 MP    (back) , 2.07 MP    (front);144,9 x 69,4 x 8,95 mm;145 g;no;2.0 , micro-B;no;nano;?
smartphone;Android;Lenovo;Moto Z;5.5 '';AMOLED , 531 ppp;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Moto Mods ready , Hall sensor , magnetometer , proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;2600 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony IMX214 Exmor RS    CMOS    f/1.8    12.98 MP    (back) , 5.04 MP    (front);153,3 x 75,3 x 5,2 mm;136 g;no;2.0 , C;no;nano;Vibe UI
smartphone;Android;Lenovo;Phab 2 Pro;6.4''; IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 652;Qualcomm Adreno 510;Tango ready , Hall sensor , fingerprint , proximity , light , accelerometer , compass  , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;4050 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.0    15.93 MP    (back) , 7.99 MP    (front);179.8 x 88.6 x 10.1 mm;259 g;no;2.0 , micro-B;microSD;nano , nano;Vibe UI
smartphone;Android;Lenovo;Moto G5 Plus;5.2’’;Corning Gorilla Glass 3 , IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 625;Qualcomm Adreno 506; fingerprint , proximity , light , accelerometer , compass  , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Ion;32 GB , 64 GB;2 GB , 4 GB;CMOS    f/1.7    12.19 MP    (back) , 4.92 MP    (front);150.2 x 74 x 9.7 mm;155 g;no;2.0 , micro-B;microSD;nano , nano;?
smartphone;Android;Oppo;R9;5.5’’;AMOLED;1080 x 1920 px = Full HD;MediaTek Helio P10;ARM Mali-T860 MP2; fingerprint , proximity , light , accelerometer , compass  , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;2850 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.2    12.98 MP    4.69 x 3.52 mm    1.127 µm    (back) ,    15.93 MP    (front);151.8 x 74.3 x 6.6 mm;145 g;no;2.0 , micro-B;microSD;nano , nano;?
smartphone;Android;BlackBerry;KEYone;4.5’’;IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 625;Qualcomm Adreno 506;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3505 mAh , Li-Ion;32 GB;3 GB;Sony Exmor IMX378 RS    CMOS    6.25 x 4.65 mm    1.544 µm    f/2.0    (12.19 MP    (back) , 7.99 MP    (front);149.3 x 72.5 x 9.4 mm;180 g;no;3.1 , C;microSD;nano;?
smartphone;Android;Caterpillar;Cat S60;4.7 '';?;720 x 1280 px = HD;Qualcomm Snapdragon 617;Qualcomm Adreno 405;proximity , light , compass , accelerometer , Bluetooth , GPS;23800 mAh , Li-Ion;32 GB;3 GB;CMOS    12.98 MP    (back) , 4.02 MP    (front);147,9 x 73,4 x 12,66 mm;?;IP 68;2.0 , micro-B;microSD;nano;?
smartphone;Android;Vertu;Constellation (2017);5.5 '';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;proximity , light , accelerometer , compass , gyroscope , fingerprint , Bluetooth  , GPS , Wi-Fi;3220 mAh , Li-ion;128 GB;4 GB;CMOS BSI    f/2.0    6.25 x 4.65 mm    12.19 MP    (back) , 4.13 MP    (front);161.5 x 77 x 10 mm;241 g;no;3.1 , C;microSD;nano;?
smartphone;Android;Essential;FIH-PM1;?;?;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;?;?;?;4 GB;12 MP    (back) , 8 MP    (front);?;?;?;?;?;?;?
smartphone;Android;Oukitel;K10000 Pro;5.5’’;IPS;1080 x 1920 px = Full HD;MediaTek MT6750T;ARM Mali-T860 MP2;proximity , light , accelerometer , fingerprint , Bluetooth , GPS , Wi-Fi;10100 mAh , Li-Polymer;32 GB;4 GB;CMOS    f/2.2    15.03 MP    (back) , 7.99 MP    (front);?;?;no;2.0 , micro-B;microSD;micro , micro;?
smartphone;iOS;Apple;iPhone 6S;4.7'';Retina HD , IPS;750 x 1334 px;Apple A9;PowerVR GT7600;barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1715 mAh , Li-Polymer;16 GB, 64 GB, 128 GB;2 GB;Sony IMX315    4.8x3.6 mm    1.10 µm    f/2.2    12.19 MP    (back) , 4.92 MP    (front);138.3 x 67.1 x 7.1 mm;143 g;no;?;no;nano;?
smartphone;iOS;Apple;iPhone 6;4.7'';Retina , IPS;750 x 1334 px;Apple A8;PowerVR  GX6450;barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1810 mAh , Li-Polymer;16 GB, 64 GB, 128 GB;1 GB;Sony Exmor RS    CMOS BSI    4.8x4.6 mm    1.471µm    f/2.2    8 MP    (back) , 1.23 MP    (front);138.1 x 67 x 6.9 mm;129 g;no;?;no;nano;?
smartphone;iOS;Apple;iPhone SE;4'';Retina , IPS;640 x 1136 px;Apple A9;PowerVR  GT7600; fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1642 mAh , Li-Polymer;16 GB , 64 GB;2 GB;Sony IMX315    4.8x3.6 mm    1.19 µm    f/2.2    12.19 MP    (back) , 1.2 MP    (front);123.8 x 58.6 x 7.6 mm;113 g;no;?;no;nano;?
smartphone;iOS;Apple;iPhone 7;4.7'';Retina HD , ForceTouch , IPS;750 x 1334 px , 326ppi;Apple A10 Fusion;?;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1960 mAh , Li-Polymer;32 GB , 128 GB , 256 GB;2 GB;f/1.8    12.19 MP    quad-LED-flash    6-elements-lens    (back) , f/2.2    7 MP    (front);138.3 x 67.1 x 7.1 mm;138 g;IP 67;2.0;no;nano;?
smartphone;Windows;Nokia;Lumia 950;5.2'';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 808;Qualcomm Adreno 418;proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;3 GB;CMOS BSI    5.76x4.19 mm    1.071 µm    f/1.9    20.13 MP    (back) , 5.02 MP    (front);145 x 73.2 x 8.2 mm;150 g;no;3.1 , C;microSD;nano;?
smartphone;Windows;HP;Elite x3;6'';IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;?;iris scanner , ?;?;64 GB;4 GB;16 MP    (back) , 8 MP    (front);?;?;?;C;microSD;?;?
smartphone;Sworfish OS;Turing Robotic Industries;Monolith Chaconne;6.4'';?;2160 x 3840 px = 4K;Qualcomm Snapdragon 830 , Qualcomm Snapdragon 830 , Qualcomm Snapdragon 830;?;?;?;1.2 TB;18 GB;60 MP    (back) , 20 MP    (front);?;?;?;?;microSD , microSD;nano , nano , nano , nano;?
watch;Android Wear;Huawei;Watch;1.4'';Sapphire crystal , AMOLED;286 PPP;Qualcomm Snapdragon 400;?;gyroscope , barometer , accelerometer , heart sensor , Wi-Fi , Bluetooth;300 mAh;4 GB;512 MB;no;42 x 42 x 11.3 mm;95 g;IP 67;?;no;no;?
watch;Tizen;Samsung;Gear S2;1.2'';OLED;360 x 360 px , 424 ppp;Samsung Exynos 3250;?;accelerometer , gyroscope , light , barometer , Wi-Fi, GPS (option);250 mAh , 350 mAh;4 GB;512 MB;no;49.8 x 42.3 x 11.4 mm;47 g;IP 68;micro-B;no;?;?
watch;Tizen;Samsung;Gear S3;1.3'';Corning Gorilla Glass , Super AMOLED;360 x 360 px , 424 ppp;?;?;? , NFC;?;4 GB;?;no;?;?;IP 68;?;no;no;?
watch;Tizen;Samsung;Gear S3 Frontier;1.3'';sAMOLED;360 x 360 px;Samsung Exynos 7270;?;heart sensor , podometer , accelerometer , compass , Bluetooth , GPS , Wi-Fi;380 mAh;?;768 MB;no;46 x 49 x 12,9 mm;57 g;IP 68;?;no;no;?
watch;Android Wear;Motorola;Moto 360 (2nd gen);1.37'' , 1.56'';LCD;360 x 325 px , 360 x 360 px;Qualcomm Snapdragon 400;?;heart, gyroscope , accelerometer , boussole, Wi-Fi;300 mAh , 400 mAh;4 GB;512 MB;no;42 x 42 x 11.4 mm , 46 x 46 x 11.4 mm;?;IP 67;?;no;no;?
watch;Android Wear;LG;Watch Urbane (2nd gen);1.38'';Gorilla Glass 3 , P-OLED;480 x 480 px , 348 ppp;Qualcomm Snapdragon 400;?;heart , gyroscope , accelerometer , barometer , GPS , Wi-FI;570 mAh;4 GB;768 MB;no;44.5 x 44.5 x 14.2 mm;92.7 g;IP 67;?;no;?;?
watch;Android Wear;LG;G Watch R;1.3'';P-OLED;320 x 320 px;Qualcomm Snapdragon 400;?;barometer , accelerometer , compass, altimeter, BLE;410 mAh;4 GB;512 MB;no;53.6 x 46.4 x 9.7 mm;62 g;IP 67;?;no;no;?
watch;Android Wear;LG;G Watch Sport;1.38’’;?;480 x 480 px;Qualcomm Snapdragon Wear 2100;?;4G , NFC , GPS;430 mAh;?;768 MB;no;?;?;IP 68;?;no;?;?
watch;Pebble's OS;Pebble;Time;1.25'';Gorilla 2 , LED , E-INK;168 x 144 px , 182 ppi;ST Micro STM32F439ZG MCU;?;accelerometer , gyroscope , compass, light , Blueetoh;150 mAh;?;126 MB;no;40.5 x 37.5 x 95.mm;42 g;IP 67;?;no;no;?
watch;Android Wear;Asus;Zen Watch 2;1.45'' , 1.63'';Gorilla Glass 3 , AMOLED;280 x 280 px , 320 x 320 px;Qualcomm Snapdragon 400;?;heart, gyroscope , accelerometer , compass , Wi-Fi;300 mAh , 400 mAh;4 GB;512 MB;no;45.2 x 37.2 x 11.1 mm , 49.6 x 40.7 x 10.0 mm;?;IP 67;?;no;no;?
watch;Android Wear;Asus;Zen Watch 3;1.39'';?;100 x 400 px , 297 ppp;Qualcomm Snapdragon Wear 2100;Qualcomm Adreno 304;?;340 mAh;4  GB;512 MB;no;  x  x 9.95 mm;?;?;?;no;no;?
watch;Android Wear;Fossil;Q Marshal;?;?;?;?;?;Temperature , fitness , notifications ,  gyroscope , Bluetooth 4.1;360 mAh;4 GB;?;no;?;?;?;?;no;no;?
band;/;Xiaomi;Mi Band 2;0.42'';OLED;?;?;?;clock , step , calories , heart rythm;?;?;?;no;?;?;?;?;no;no;?
band;/;Xiaomi;Mi Band Pulse / Mi Band 1S;no;no;no;?;no;Bluetooth 4.1 , vibrator , 3 LED , accelerometer , heart rythm;45 mAh;?;?;no;?;?;?;?;no;no;/
band;/;Sony;Smartband SWR10;no;no;no;ARM Cortex-M0 32 bits;no;vibrator , 3 LED , BLE , NFC;35 mAh;?;16 kB;no;?;21 g;IP 58;micro USB;no;no;/
band;/;Sony;Smartband 2;no;no;no;?;no;heart rythm , vibrator , NFC , Bluetooth;?;?;?;no;?;?;IP 67;micro USB;no;no;/
band;/;Sony;Smartwatch 3;1.6'';?;320 x 320 px;Qualcomm Snapdragon 400;?;accelerometer , compass , gyroscope , Bluetooth 4.0 , GPS;420 mAh;4 GB;512 MB;no;51 x 36 x 10 mm;46 g;IP 68;no;no;no;?
band;/;Fitbit;Charge 2;?;OLED;?;?;?;Bluetooth 4.0 , heart rythm , accelerometer , altimeter , vibrator , chronometer , podometer , notifications;? , Li-Polymer;?;?;no;?;?;?;?;no;no;?
band;/;Fitbit;Flex 2;no;no;no;?;?;5 LED , sleep , step , calories , notifications;?;?;?;no;?;?;IP 68;no;no;no;/
band;/;Meizu;Band;?;OLED;?;?;?;podometer , calories , heart rythm , sleep , Bluetooth , notifications;;?;?;no;?;?;IP ?;?;no;no;?
band;/;Jawbone;UP24;no;no;no;?;?;Bluetooth 4.0 , podometer , sleep , jack 3.5;?;?;?;no;?;?;IP 67;no;no;no;/
band;/;Asus;VivoWatch;1.28 '';Corning Gorilla Glass 3 , LCD;128 x 128 px;?;?;Bluetooth 4.0 , heart rythm , accelerometer , UV , step , calories;?;?;?;no;?;50 g;?;no;no;no;?
band;/;Withings;Activité Steel;?;?;?;?;?;Bluetooth 4.0 , step , run , swim , sleep , calories;battery CR2025;?;?;no;?;?;IP 68;no;no;no;?
band;/;TomTom;Touch;?;OLED;?;?;?;Bluetooth , heart rythm , podometer , calories , distance , clock , body composition , notifications , sleep;?;?;?;no;?;?;IP X7;?;no;no;/
box;Android;Nvidia;Shield Android TV (2017);no;no;no;Nvidia Tegra x1;Maxwell (256 CUDA core);Bluetooth 4.1 , BLE , WiFi , HDMI , Gigabit Ethernet;no;?;3 GB;no;210 x 130 x 25 mm;654 g;no;USB 2.0 , microUSB 3.0;no;no;?
box;?;Razer;Razer Forge TV;no;no;no;Snapdragon 805;Qualcomm Adreno 420;WiFi , HDMI , Gigabit Ethernet;no;16 GB;2 GB;no;105 x 105 x 17 mm;?;no;USB 2.0 , microUSB 3.0;no;no;/
box;tvOS;Apple;Apple TV;no;no;no;A8;PowerVR GX6450;Bluetooth 4.0 , WiFi , HDMI , Gigabit Ethernet;no;32 GB , 64 GB;2 GB;no;33 x 99 x 99 mm;425 g;no;microUSB C;no;no;/
beamer;Android;Sony;Xperia Touch;no;no;no;?;?;Miracast , NFC , micro HDMI , Wi-Fi , Bluetooth 4.2;no;?;3 GB;no;143 x 134 x 69 mm;932 g;no;C;no;no;/
